Deck A,Deck B,Different,Same,Jaccard,,
Affinity,Dredge,144,3,0.020408163,"{""source"": ""Affinity"", ""target"": ""Dredge"", ""value"":0.02040816326530612},","{""source"": ""Affinity"", ""target"": ""Dredge"", ""value"":0.00041649312786339016},"
Affinity,Eldrazi Aggro,103.2,23.4,0.184834123,"{""source"": ""Affinity"", ""target"": ""Eldrazi Aggro"", ""value"":0.18483412322274884},","{""source"": ""Affinity"", ""target"": ""Eldrazi Aggro"", ""value"":0.0341636531075223},"
Affinity,Elves,141.3333333,4.333333333,0.029748284,"{""source"": ""Affinity"", ""target"": ""Elves"", ""value"":0.029748283750299788},","{""source"": ""Affinity"", ""target"": ""Elves"", ""value"":0.0008849603860883504},"
Affinity,Food Chain,144,3,0.020408163,"{""source"": ""Affinity"", ""target"": ""Food Chain"", ""value"":0.02040816326530612},","{""source"": ""Affinity"", ""target"": ""Food Chain"", ""value"":0.00041649312786339016},"
Affinity,Goblins,142,4,0.02739726,"{""source"": ""Affinity"", ""target"": ""Goblins"", ""value"":0.0273972602739726},","{""source"": ""Affinity"", ""target"": ""Goblins"", ""value"":0.0007506098705197973},"
Affinity,Humans,148,1,0.006711409,"{""source"": ""Affinity"", ""target"": ""Humans"", ""value"":0.006711409395973154},","{""source"": ""Affinity"", ""target"": ""Humans"", ""value"":4.504301608035674e-05},"
Affinity,Junk,146,2,0.013513514,"{""source"": ""Affinity"", ""target"": ""Junk"", ""value"":0.013513513513513514},","{""source"": ""Affinity"", ""target"": ""Junk"", ""value"":0.00018261504747991238},"
Affinity,Lands,146.4285714,1.857142857,0.012524085,"{""source"": ""Affinity"", ""target"": ""Lands"", ""value"":0.012524084777348057},","{""source"": ""Affinity"", ""target"": ""Lands"", ""value"":0.00015685269951020133},"
Affinity,Legacy Landstill,142,4,0.02739726,"{""source"": ""Affinity"", ""target"": ""Legacy Landstill"", ""value"":0.0273972602739726},","{""source"": ""Affinity"", ""target"": ""Legacy Landstill"", ""value"":0.0007506098705197973},"
Affinity,LOAM,133,8.666666667,0.061176471,"{""source"": ""Affinity"", ""target"": ""LOAM"", ""value"":0.06117647059130795},","{""source"": ""Affinity"", ""target"": ""LOAM"", ""value"":0.0037425605540091665},"
Affinity,Maverick,146,2,0.013513514,"{""source"": ""Affinity"", ""target"": ""Maverick"", ""value"":0.013513513513878745},","{""source"": ""Affinity"", ""target"": ""Maverick"", ""value"":0.00018261504748978347},"
Affinity,Merfolk,140,5,0.034482759,"{""source"": ""Affinity"", ""target"": ""Merfolk"", ""value"":0.034482758620689655},","{""source"": ""Affinity"", ""target"": ""Merfolk"", ""value"":0.0011890606420927466},"
Affinity,MUD,104,23,0.181102362,"{""source"": ""Affinity"", ""target"": ""MUD"", ""value"":0.18110236220472442},","{""source"": ""Affinity"", ""target"": ""MUD"", ""value"":0.032798065596131194},"
Affinity,Nic Fit,142,4,0.02739726,"{""source"": ""Affinity"", ""target"": ""Nic Fit"", ""value"":0.027397260274910854},","{""source"": ""Affinity"", ""target"": ""Nic Fit"", ""value"":0.0007506098705712084},"
Affinity,Painter,116,17,0.127819549,"{""source"": ""Affinity"", ""target"": ""Painter"", ""value"":0.12781954887218044},","{""source"": ""Affinity"", ""target"": ""Painter"", ""value"":0.016337837073887727},"
Affinity,Pikula,145,2.5,0.016949153,"{""source"": ""Affinity"", ""target"": ""Pikula"", ""value"":0.01694915254237288},","{""source"": ""Affinity"", ""target"": ""Pikula"", ""value"":0.0002872737719046251},"
Affinity,Reanimator,143.5,3.333333333,0.022701476,"{""source"": ""Affinity"", ""target"": ""Reanimator"", ""value"":0.022701475593540524},","{""source"": ""Affinity"", ""target"": ""Reanimator"", ""value"":0.0005153569941241162},"
Affinity,Slivers,132,9,0.063829787,"{""source"": ""Affinity"", ""target"": ""Slivers"", ""value"":0.06382978723404255},","{""source"": ""Affinity"", ""target"": ""Slivers"", ""value"":0.004074241738343141},"
Affinity,Sneak & Show,137.7692308,6.153846154,0.042757883,"{""source"": ""Affinity"", ""target"": ""Sneak & Show"", ""value"":0.04275788348496802},","{""source"": ""Affinity"", ""target"": ""Sneak & Show"", ""value"":0.001828236600114101},"
Affinity,Stoneblade,147,1.5,0.01010101,"{""source"": ""Affinity"", ""target"": ""Stoneblade"", ""value"":0.010101010101010104},","{""source"": ""Affinity"", ""target"": ""Stoneblade"", ""value"":0.00010203040506070814},"
Affinity,Storm,141.3333333,4.333333333,0.029748284,"{""source"": ""Affinity"", ""target"": ""Storm"", ""value"":0.029748283751116673},","{""source"": ""Affinity"", ""target"": ""Storm"", ""value"":0.0008849603861369522},"
Antiquities War,Arclight Phoenix,144.8,2.6,0.017639077,"{""source"": ""Antiquities War"", ""target"": ""Arclight Phoenix"", ""value"":0.017639077340569877},","{""source"": ""Antiquities War"", ""target"": ""Arclight Phoenix"", ""value"":0.0003111370494266057},"
Antiquities War,Bomberman,108,21,0.162790698,"{""source"": ""Antiquities War"", ""target"": ""Bomberman"", ""value"":0.16279069767441862},","{""source"": ""Antiquities War"", ""target"": ""Bomberman"", ""value"":0.026500811249323963},"
Antiquities War,BUG Midrange,130,10,0.071428571,"{""source"": ""Antiquities War"", ""target"": ""BUG Midrange"", ""value"":0.07142857142857142},","{""source"": ""Antiquities War"", ""target"": ""BUG Midrange"", ""value"":0.00510204081632653},"
Antiquities War,Burn,146,2,0.013513514,"{""source"": ""Antiquities War"", ""target"": ""Burn"", ""value"":0.013513513513422207},","{""source"": ""Antiquities War"", ""target"": ""Burn"", ""value"":0.0001826150474774446},"
Antiquities War,Canadian Threshold,140.5,4.75,0.032702238,"{""source"": ""Antiquities War"", ""target"": ""Canadian Threshold"", ""value"":0.03270223752151463},","{""source"": ""Antiquities War"", ""target"": ""Canadian Threshold"", ""value"":0.0010694363389135595},"
Antiquities War,Cloudpost Ramp,128.6666667,10.66666667,0.076555024,"{""source"": ""Antiquities War"", ""target"": ""Cloudpost Ramp"", ""value"":0.07655502391939287},","{""source"": ""Antiquities War"", ""target"": ""Cloudpost Ramp"", ""value"":0.005860671687298814},"
Antiquities War,Death and taxes,146.8,1.6,0.010781671,"{""source"": ""Antiquities War"", ""target"": ""Death and taxes"", ""value"":0.010781671159029652},","{""source"": ""Antiquities War"", ""target"": ""Death and taxes"", ""value"":0.00011624443298145179},"
Antiquities War,Death's Shadow,139.6,5.2,0.035911602,"{""source"": ""Antiquities War"", ""target"": ""Death's Shadow"", ""value"":0.03591160220994476},","{""source"": ""Antiquities War"", ""target"": ""Death's Shadow"", ""value"":0.001289643173285309},"
Antiquities War,Delver (Other),139,5.5,0.038062284,"{""source"": ""Antiquities War"", ""target"": ""Delver (Other)"", ""value"":0.03806228373702422},","{""source"": ""Antiquities War"", ""target"": ""Delver (Other)"", ""value"":0.0014487374432777386},"
Antiquities War,Doomsday,146,2,0.013513514,"{""source"": ""Antiquities War"", ""target"": ""Doomsday"", ""value"":0.013513513513513514},","{""source"": ""Antiquities War"", ""target"": ""Doomsday"", ""value"":0.00018261504747991238},"
Antiquities War,Dragon Stompy,128.5,10.83333333,0.077751196,"{""source"": ""Antiquities War"", ""target"": ""Dragon Stompy"", ""value"":0.07775119617004247},","{""source"": ""Antiquities War"", ""target"": ""Dragon Stompy"", ""value"":0.006045248505872428},"
Antiquities War,Dredge,146,2,0.013513514,"{""source"": ""Antiquities War"", ""target"": ""Dredge"", ""value"":0.013513513513513514},","{""source"": ""Antiquities War"", ""target"": ""Dredge"", ""value"":0.00018261504747991238},"
Antiquities War,Eldrazi Aggro,112.8,18.6,0.141552511,"{""source"": ""Antiquities War"", ""target"": ""Eldrazi Aggro"", ""value"":0.14155251141552516},","{""source"": ""Antiquities War"", ""target"": ""Eldrazi Aggro"", ""value"":0.02003711348804238},"
Antiquities War,Elves,148,1,0.006711409,"{""source"": ""Antiquities War"", ""target"": ""Elves"", ""value"":0.006711409395928112},","{""source"": ""Antiquities War"", ""target"": ""Elves"", ""value"":4.504301607975215e-05},"
Antiquities War,Food Chain,123,13.5,0.098901099,"{""source"": ""Antiquities War"", ""target"": ""Food Chain"", ""value"":0.0989010989010989},","{""source"": ""Antiquities War"", ""target"": ""Food Chain"", ""value"":0.009781427363844946},"
Antiquities War,Goblins,146,2,0.013513514,"{""source"": ""Antiquities War"", ""target"": ""Goblins"", ""value"":0.013513513513513514},","{""source"": ""Antiquities War"", ""target"": ""Goblins"", ""value"":0.00018261504747991238},"
Antiquities War,Grixis Control,128.25,10.875,0.078167116,"{""source"": ""Antiquities War"", ""target"": ""Grixis Control"", ""value"":0.07816711590296496},","{""source"": ""Antiquities War"", ""target"": ""Grixis Control"", ""value"":0.006110098008587558},"
Antiquities War,Grixis Delver,138,6,0.041666667,"{""source"": ""Antiquities War"", ""target"": ""Grixis Delver"", ""value"":0.041666666666666664},","{""source"": ""Antiquities War"", ""target"": ""Grixis Delver"", ""value"":0.001736111111111111},"
Antiquities War,Infect,142.5,4,0.027303754,"{""source"": ""Antiquities War"", ""target"": ""Infect"", ""value"":0.027303754266211604},","{""source"": ""Antiquities War"", ""target"": ""Infect"", ""value"":0.0007454949970296684},"
Antiquities War,Junk,142,4,0.02739726,"{""source"": ""Antiquities War"", ""target"": ""Junk"", ""value"":0.0273972602739726},","{""source"": ""Antiquities War"", ""target"": ""Junk"", ""value"":0.0007506098705197973},"
Antiquities War,Lands,145.8571429,2.142857143,0.014478764,"{""source"": ""Antiquities War"", ""target"": ""Lands"", ""value"":0.014478764479631897},","{""source"": ""Antiquities War"", ""target"": ""Lands"", ""value"":0.00020963462085665032},"
Antiquities War,Legacy Landstill,138,6,0.041666667,"{""source"": ""Antiquities War"", ""target"": ""Legacy Landstill"", ""value"":0.041666666666666664},","{""source"": ""Antiquities War"", ""target"": ""Legacy Landstill"", ""value"":0.001736111111111111},"
Antiquities War,LOAM,141,4.666666666,0.032036613,"{""source"": ""Antiquities War"", ""target"": ""LOAM"", ""value"":0.03203661326788117},","{""source"": ""Antiquities War"", ""target"": ""LOAM"", ""value"":0.0010263445896757796},"
Antiquities War,Maverick,148,1,0.006711409,"{""source"": ""Antiquities War"", ""target"": ""Maverick"", ""value"":0.006711409396153327},","{""source"": ""Antiquities War"", ""target"": ""Maverick"", ""value"":4.504301608277516e-05},"
Antiquities War,Merfolk,128,11,0.079136691,"{""source"": ""Antiquities War"", ""target"": ""Merfolk"", ""value"":0.07913669064748201},","{""source"": ""Antiquities War"", ""target"": ""Merfolk"", ""value"":0.006262615806635266},"
Antiquities War,MUD,113,18.5,0.140684411,"{""source"": ""Antiquities War"", ""target"": ""MUD"", ""value"":0.14068441064638784},","{""source"": ""Antiquities War"", ""target"": ""MUD"", ""value"":0.019792103398921485},"
Antiquities War,Painter,76,37,0.327433628,"{""source"": ""Antiquities War"", ""target"": ""Painter"", ""value"":0.3274336283185841},","{""source"": ""Antiquities War"", ""target"": ""Painter"", ""value"":0.10721278095387267},"
Antiquities War,Pikula,146,2,0.013513514,"{""source"": ""Antiquities War"", ""target"": ""Pikula"", ""value"":0.013513513513513514},","{""source"": ""Antiquities War"", ""target"": ""Pikula"", ""value"":0.00018261504747991238},"
Antiquities War,Slivers,134,8,0.056338028,"{""source"": ""Antiquities War"", ""target"": ""Slivers"", ""value"":0.056338028169014086},","{""source"": ""Antiquities War"", ""target"": ""Slivers"", ""value"":0.0031739734179726245},"
Antiquities War,Sneak & Show,131.6153846,9.230769231,0.065537957,"{""source"": ""Antiquities War"", ""target"": ""Sneak & Show"", ""value"":0.06553795740064175},","{""source"": ""Antiquities War"", ""target"": ""Sneak & Show"", ""value"":0.0042952238602483326},"
Antiquities War,Stoneblade,136.6,6.7,0.046755059,"{""source"": ""Antiquities War"", ""target"": ""Stoneblade"", ""value"":0.046755059316120035},","{""source"": ""Antiquities War"", ""target"": ""Stoneblade"", ""value"":0.002186035571653903},"
Antiquities War,Storm,146,2,0.013513514,"{""source"": ""Antiquities War"", ""target"": ""Storm"", ""value"":0.013513513513787436},","{""source"": ""Antiquities War"", ""target"": ""Storm"", ""value"":0.00018261504748731566},"
Antiquities War,UR Delver,138,6,0.041666667,"{""source"": ""Antiquities War"", ""target"": ""UR Delver"", ""value"":0.04166666666666666},","{""source"": ""Antiquities War"", ""target"": ""UR Delver"", ""value"":0.0017361111111111104},"
Antiquities War,UWx Control,136.9375,6.5625,0.045731707,"{""source"": ""Antiquities War"", ""target"": ""UWx Control"", ""value"":0.04573170731707317},","{""source"": ""Antiquities War"", ""target"": ""UWx Control"", ""value"":0.002091389054134444},"
Arclight Phoenix,Belcher,135.2,7.4,0.051893408,"{""source"": ""Arclight Phoenix"", ""target"": ""Belcher"", ""value"":0.05189340813464237},","{""source"": ""Arclight Phoenix"", ""target"": ""Belcher"", ""value"":0.0026929258078285667},"
Arclight Phoenix,Bomberman,141.2,4.4,0.03021978,"{""source"": ""Arclight Phoenix"", ""target"": ""Bomberman"", ""value"":0.030219780219780223},","{""source"": ""Arclight Phoenix"", ""target"": ""Bomberman"", ""value"":0.0009132351165318201},"
Arclight Phoenix,BUG Midrange,99.6,25.2,0.201923077,"{""source"": ""Arclight Phoenix"", ""target"": ""BUG Midrange"", ""value"":0.20192307692307687},","{""source"": ""Arclight Phoenix"", ""target"": ""BUG Midrange"", ""value"":0.04077292899408282},"
Arclight Phoenix,Burn,147.0666667,1.466666666,0.009874327,"{""source"": ""Arclight Phoenix"", ""target"": ""Burn"", ""value"":0.00987432674584971},","{""source"": ""Arclight Phoenix"", ""target"": ""Burn"", ""value"":9.750232868380292e-05},"
Arclight Phoenix,Canadian Threshold,107.6,21.2,0.164596273,"{""source"": ""Arclight Phoenix"", ""target"": ""Canadian Threshold"", ""value"":0.16459627329192542},","{""source"": ""Arclight Phoenix"", ""target"": ""Canadian Threshold"", ""value"":0.0270919331815902},"
Arclight Phoenix,Cloudpost Ramp,145.8666667,2.066666667,0.013970257,"{""source"": ""Arclight Phoenix"", ""target"": ""Cloudpost Ramp"", ""value"":0.013970256874938683},","{""source"": ""Arclight Phoenix"", ""target"": ""Cloudpost Ramp"", ""value"":0.00019516807715177153},"
Arclight Phoenix,Dark Depths,124.0444444,13.08888889,0.095446443,"{""source"": ""Arclight Phoenix"", ""target"": ""Dark Depths"", ""value"":0.0954464430438522},","{""source"": ""Arclight Phoenix"", ""target"": ""Dark Depths"", ""value"":0.009110023489723323},"
Arclight Phoenix,Death and taxes,144.6,2.7,0.018329939,"{""source"": ""Arclight Phoenix"", ""target"": ""Death and taxes"", ""value"":0.018329938900203673},","{""source"": ""Arclight Phoenix"", ""target"": ""Death and taxes"", ""value"":0.0003359866600851998},"
Arclight Phoenix,Death's Shadow,91.6,29.2,0.241721854,"{""source"": ""Arclight Phoenix"", ""target"": ""Death's Shadow"", ""value"":0.2417218543046357},","{""source"": ""Arclight Phoenix"", ""target"": ""Death's Shadow"", ""value"":0.05842945484847153},"
Arclight Phoenix,Delver (Other),88.4,30.8,0.258389262,"{""source"": ""Arclight Phoenix"", ""target"": ""Delver (Other)"", ""value"":0.25838926174496646},","{""source"": ""Arclight Phoenix"", ""target"": ""Delver (Other)"", ""value"":0.06676501058510878},"
Arclight Phoenix,Doomsday,88.8,30.6,0.256281407,"{""source"": ""Arclight Phoenix"", ""target"": ""Doomsday"", ""value"":0.25628140703517593},","{""source"": ""Arclight Phoenix"", ""target"": ""Doomsday"", ""value"":0.06568015959192952},"
Arclight Phoenix,Dragon Stompy,145.2333333,2.466666667,0.016700519,"{""source"": ""Arclight Phoenix"", ""target"": ""Dragon Stompy"", ""value"":0.016700519072557218},","{""source"": ""Arclight Phoenix"", ""target"": ""Dragon Stompy"", ""value"":0.0002789073372928474},"
Arclight Phoenix,Dredge,134,8,0.056338028,"{""source"": ""Arclight Phoenix"", ""target"": ""Dredge"", ""value"":0.05633802816901411},","{""source"": ""Arclight Phoenix"", ""target"": ""Dredge"", ""value"":0.003173973417972627},"
Arclight Phoenix,Elves,140.1333333,4.933333334,0.034007353,"{""source"": ""Arclight Phoenix"", ""target"": ""Elves"", ""value"":0.034007352945693924},","{""source"": ""Arclight Phoenix"", ""target"": ""Elves"", ""value"":0.0011565000543729972},"
Arclight Phoenix,Food Chain,102.8,23.6,0.186708861,"{""source"": ""Arclight Phoenix"", ""target"": ""Food Chain"", ""value"":0.18670886075949364},","{""source"": ""Arclight Phoenix"", ""target"": ""Food Chain"", ""value"":0.034860198686107985},"
