0,1,2,3,4,,,,,,,,
Arclight Phoenix,Grixis Control,151.21,75.93,0.334287224,25.07154178,0.083571806,"{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Control"", ""value"": 25},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Control"", ""value"": 0.083571806},"
Antiquities War,Painter,74.5,36.5,0.328828829,24.66216216,0.082207207,"{""source"": ""Antiquities War"", ""target"": ""Painter"", ""value"": 25},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Antiquities War"", ""target"": ""Painter"", ""value"": 0.08220720725},"
Junk,LOAM,89.48,42.01,0.319491977,23.96189824,0.079872994,"{""source"": ""Junk"", ""target"": ""LOAM"", ""value"": 24},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Junk"", ""target"": ""LOAM"", ""value"": 0.07987299425},"
Cloudpost Ramp,Eldrazi Aggro,126.21,58.62,0.317156306,23.78672293,0.079289077,"{""source"": ""Cloudpost Ramp"", ""target"": ""Eldrazi Aggro"", ""value"": 24},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Cloudpost Ramp"", ""target"": ""Eldrazi Aggro"", ""value"": 0.0792890765},"
Death's Shadow,Grixis Control,129.66,60.17,0.316967813,23.772586,0.079241953,"{""source"": ""Death's Shadow"", ""target"": ""Grixis Control"", ""value"": 24},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Grixis Control"", ""value"": 0.07924195325},"
Grixis Delver,Stoneblade,115.11,52.07,0.311460701,23.35955258,0.077865175,"{""source"": ""Grixis Delver"", ""target"": ""Stoneblade"", ""value"": 23},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Delver"", ""target"": ""Stoneblade"", ""value"": 0.07786517525},"
Eldrazi Aggro,MUD,112.46,49.09,0.303868771,22.79015785,0.075967193,"{""source"": ""Eldrazi Aggro"", ""target"": ""MUD"", ""value"": 23},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Eldrazi Aggro"", ""target"": ""MUD"", ""value"": 0.07596719275},"
4-c Control,Grixis Delver,95.86,41.4,0.301617368,22.62130264,0.075404342,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"": 23},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"": 0.075404342},"
Death and taxes,Maverick,129.86,55.91,0.300963557,22.57226678,0.075240889,"{""source"": ""Death and taxes"", ""target"": ""Maverick"", ""value"": 23},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death and taxes"", ""target"": ""Maverick"", ""value"": 0.07524088925},"
Arclight Phoenix,Storm,152.56,61.11,0.286001778,21.45013338,0.071500445,"{""source"": ""Arclight Phoenix"", ""target"": ""Storm"", ""value"": 21},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Storm"", ""value"": 0.0715004445},"
Delver (Other),UR Delver,118.53,44.81,0.274335741,20.5751806,0.068583935,"{""source"": ""Delver (Other)"", ""target"": ""UR Delver"", ""value"": 21},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""UR Delver"", ""value"": 0.06858393525},"
Arclight Phoenix,Death's Shadow,162.31,59.72,0.268972661,20.1729496,0.067243165,"{""source"": ""Arclight Phoenix"", ""target"": ""Death's Shadow"", ""value"": 20},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Death's Shadow"", ""value"": 0.06724316525},"
Canadian Threshold,Delver (Other),118.29,43.33,0.268098008,20.10735058,0.067024502,"{""source"": ""Canadian Threshold"", ""target"": ""Delver (Other)"", ""value"": 20},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Canadian Threshold"", ""target"": ""Delver (Other)"", ""value"": 0.067024502},"
Delver (Other),Stoneblade,127.49,46.13,0.265695196,19.92713973,0.066423799,"{""source"": ""Delver (Other)"", ""target"": ""Stoneblade"", ""value"": 20},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Stoneblade"", ""value"": 0.066423799},"
Junk,Maverick,100,33,0.248120301,18.60902256,0.062030075,"{""source"": ""Junk"", ""target"": ""Maverick"", ""value"": 19},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Junk"", ""target"": ""Maverick"", ""value"": 0.06203007525},"
4-c Control,Death's Shadow,117.21,38.48,0.247157814,18.53683602,0.061789454,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"": 19},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"": 0.0617894535},"
Delver (Other),Infect,123.5,40.5,0.24695122,18.52134146,0.061737805,"{""source"": ""Delver (Other)"", ""target"": ""Infect"", ""value"": 19},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Infect"", ""value"": 0.061737805},"
BUG Midrange,Infect,119,39,0.246835443,18.51265823,0.061708861,"{""source"": ""BUG Midrange"", ""target"": ""Infect"", ""value"": 19},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""BUG Midrange"", ""target"": ""Infect"", ""value"": 0.06170886075},"
Dark Depths,Lands,131.6,42.93,0.245974904,18.4481178,0.061493726,"{""source"": ""Dark Depths"", ""target"": ""Lands"", ""value"": 18},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dark Depths"", ""target"": ""Lands"", ""value"": 0.061493726},"
BUG Midrange,Grixis Control,137.95,44.77,0.245019702,18.37647767,0.061254926,"{""source"": ""BUG Midrange"", ""target"": ""Grixis Control"", ""value"": 18},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""BUG Midrange"", ""target"": ""Grixis Control"", ""value"": 0.0612549255},"
Grixis Delver,Sneak & Show,151.04,48.74,0.243968365,18.29762739,0.060992091,"{""source"": ""Grixis Delver"", ""target"": ""Sneak & Show"", ""value"": 18},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Delver"", ""target"": ""Sneak & Show"", ""value"": 0.06099209125},"
Grixis Control,Sneak & Show,174.09,55.63,0.242164374,18.16232805,0.060541094,"{""source"": ""Grixis Control"", ""target"": ""Sneak & Show"", ""value"": 18},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Control"", ""target"": ""Sneak & Show"", ""value"": 0.0605410935},"
Dark Depths,LOAM,131.76,41.96,0.241538107,18.11535805,0.060384527,"{""source"": ""Dark Depths"", ""target"": ""LOAM"", ""value"": 18},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dark Depths"", ""target"": ""LOAM"", ""value"": 0.06038452675},"
Stoneblade,UR Delver,140.34,44.45,0.240543319,18.04074896,0.06013583,"{""source"": ""Stoneblade"", ""target"": ""UR Delver"", ""value"": 18},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Stoneblade"", ""target"": ""UR Delver"", ""value"": 0.06013582975},"
Grixis Control,Storm,149.41,46.81,0.238558761,17.89190704,0.05963969,"{""source"": ""Grixis Control"", ""target"": ""Storm"", ""value"": 18},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Control"", ""target"": ""Storm"", ""value"": 0.05963969025},"
Arclight Phoenix,Grixis Delver,163.82,51.21,0.238152816,17.86146119,0.059538204,"{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Delver"", ""value"": 18},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Delver"", ""value"": 0.059538204},"
Food Chain,Infect,116.83,36.17,0.236405229,17.73039216,0.059101307,"{""source"": ""Food Chain"", ""target"": ""Infect"", ""value"": 18},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Food Chain"", ""target"": ""Infect"", ""value"": 0.05910130725},"
4-c Control,Stoneblade,124.73,37.76,0.232383531,17.42876485,0.058095883,"{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"": 0.05809588275},"
Sneak & Show,UR Delver,161.19,48.66,0.231879914,17.39099357,0.057969979,"{""source"": ""Sneak & Show"", ""target"": ""UR Delver"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Sneak & Show"", ""target"": ""UR Delver"", ""value"": 0.0579699785},"
Arclight Phoenix,Delver (Other),166.54,50.1,0.231259232,17.34444239,0.057814808,"{""source"": ""Arclight Phoenix"", ""target"": ""Delver (Other)"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Delver (Other)"", ""value"": 0.057814808},"
Canadian Threshold,Stoneblade,141.52,42.26,0.229948852,17.24616389,0.057487213,"{""source"": ""Canadian Threshold"", ""target"": ""Stoneblade"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Canadian Threshold"", ""target"": ""Stoneblade"", ""value"": 0.057487213},"
Death and taxes,Junk,139.46,41.61,0.22980063,17.23504722,0.057450158,"{""source"": ""Death and taxes"", ""target"": ""Junk"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death and taxes"", ""target"": ""Junk"", ""value"": 0.0574501575},"
BUG Midrange,Death's Shadow,129.35,38.41,0.228958035,17.17185265,0.057239509,"{""source"": ""BUG Midrange"", ""target"": ""Death's Shadow"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""BUG Midrange"", ""target"": ""Death's Shadow"", ""value"": 0.05723950875},"
4-c Control,Arclight Phoenix,155.24,46,0.228582787,17.143709,0.057145697,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"": 0.05714569675},"
Doomsday,Grixis Control,132.4,39.13,0.22812336,17.10925203,0.05703084,"{""source"": ""Doomsday"", ""target"": ""Grixis Control"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Doomsday"", ""target"": ""Grixis Control"", ""value"": 0.05703084},"
Food Chain,Grixis Control,138.68,40.49,0.225986493,16.948987,0.056496623,"{""source"": ""Food Chain"", ""target"": ""Grixis Control"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Food Chain"", ""target"": ""Grixis Control"", ""value"": 0.05649662325},"
Arclight Phoenix,Doomsday,153.13,44.64,0.225716742,16.92875563,0.056429186,"{""source"": ""Arclight Phoenix"", ""target"": ""Doomsday"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Doomsday"", ""value"": 0.0564291855},"
Delver (Other),Grixis Control,148.57,43.21,0.225310251,16.89826885,0.056327563,"{""source"": ""Delver (Other)"", ""target"": ""Grixis Control"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Grixis Control"", ""value"": 0.05632756275},"
Grixis Control,UR Delver,154.88,44.8,0.224358974,16.82692308,0.056089744,"{""source"": ""Grixis Control"", ""target"": ""UR Delver"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Control"", ""target"": ""UR Delver"", ""value"": 0.0560897435},"
Cloudpost Ramp,MUD,137.51,39.49,0.223107345,16.73305085,0.055776836,"{""source"": ""Cloudpost Ramp"", ""target"": ""MUD"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Cloudpost Ramp"", ""target"": ""MUD"", ""value"": 0.05577683625},"
4-c Control,Infect,117.66,33.67,0.222493888,16.68704156,0.055623472,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"": 0.055623472},"
BUG Midrange,Stoneblade,135.63,38.31,0.220248362,16.51862711,0.055062091,"{""source"": ""BUG Midrange"", ""target"": ""Stoneblade"", ""value"": 17},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""BUG Midrange"", ""target"": ""Stoneblade"", ""value"": 0.0550620905},"
Death's Shadow,Stoneblade,150.26,42.25,0.219469118,16.46018389,0.05486728,"{""source"": ""Death's Shadow"", ""target"": ""Stoneblade"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Stoneblade"", ""value"": 0.0548672795},"
4-c Control,Sneak & Show,147.82,40.85,0.216515609,16.23867069,0.054128902,"{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"": 0.05412890225},"
4-c Control,Doomsday,99.83,27.5,0.21597424,16.19806801,0.05399356,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"": 0.05399356},"
LOAM,Maverick,124.16,34.17,0.21581507,16.18613023,0.053953768,"{""source"": ""LOAM"", ""target"": ""Maverick"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""LOAM"", ""target"": ""Maverick"", ""value"": 0.0539537675},"
BUG Midrange,Grixis Delver,123.36,33.65,0.214317559,16.07381695,0.05357939,"{""source"": ""BUG Midrange"", ""target"": ""Grixis Delver"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""BUG Midrange"", ""target"": ""Grixis Delver"", ""value"": 0.05357938975},"
Grixis Delver,UWx Control,145.42,39.56,0.213860958,16.03957185,0.05346524,"{""source"": ""Grixis Delver"", ""target"": ""UWx Control"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Delver"", ""target"": ""UWx Control"", ""value"": 0.0534652395},"
Pikula,Stoneblade,138.98,37.47,0.212354775,15.9266081,0.053088694,"{""source"": ""Pikula"", ""target"": ""Stoneblade"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Pikula"", ""target"": ""Stoneblade"", ""value"": 0.05308869375},"
Lands,LOAM,131.3,35.24,0.211600817,15.87006125,0.052900204,"{""source"": ""Lands"", ""target"": ""LOAM"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Lands"", ""target"": ""LOAM"", ""value"": 0.05290020425},"
Delver (Other),Junk,112.83,30,0.210039908,15.75299307,0.052509977,"{""source"": ""Delver (Other)"", ""target"": ""Junk"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Junk"", ""value"": 0.052509977},"
Canadian Threshold,Death's Shadow,143.84,38.06,0.209235844,15.69268829,0.052308961,"{""source"": ""Canadian Threshold"", ""target"": ""Death's Shadow"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Canadian Threshold"", ""target"": ""Death's Shadow"", ""value"": 0.052308961},"
Grixis Control,Stoneblade,167.82,44.13,0.208209483,15.61571125,0.052052371,"{""source"": ""Grixis Control"", ""target"": ""Stoneblade"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Control"", ""target"": ""Stoneblade"", ""value"": 0.05205237075},"
Death's Shadow,Food Chain,130.18,34.08,0.207475953,15.56069646,0.051868988,"{""source"": ""Death's Shadow"", ""target"": ""Food Chain"", ""value"": 16},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Food Chain"", ""value"": 0.05186898825},"
4-c Control,Storm,123.08,32.06,0.206652056,15.49890422,0.051663014,"{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"": 0.051663014},"
Dark Depths,Junk,124.4,32.39,0.206582052,15.49365393,0.051645513,"{""source"": ""Dark Depths"", ""target"": ""Junk"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dark Depths"", ""target"": ""Junk"", ""value"": 0.051645513},"
Death's Shadow,UR Delver,147.84,37.66,0.203018868,15.22641509,0.050754717,"{""source"": ""Death's Shadow"", ""target"": ""UR Delver"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""UR Delver"", ""value"": 0.050754717},"
Food Chain,Grixis Delver,121.19,30.82,0.202749819,15.20623643,0.050687455,"{""source"": ""Food Chain"", ""target"": ""Grixis Delver"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Food Chain"", ""target"": ""Grixis Delver"", ""value"": 0.05068745475},"
4-c Control,Canadian Threshold,123.11,31.17,0.202035261,15.15264454,0.050508815,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"": 0.05050881525},"
Grixis Control,UWx Control,173.81,43.78,0.201204099,15.09030746,0.050301025,"{""source"": ""Grixis Control"", ""target"": ""UWx Control"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Control"", ""target"": ""UWx Control"", ""value"": 0.05030102475},"
LOAM,Nic Fit,142.55,35.34,0.198662095,14.89965709,0.049665524,"{""source"": ""LOAM"", ""target"": ""Nic Fit"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""LOAM"", ""target"": ""Nic Fit"", ""value"": 0.04966552375},"
4-c Control,UR Delver,126.19,31.23,0.198386482,14.87898615,0.049596621,"{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"": 0.0495966205},"
Death's Shadow,Doomsday,126.84,31.25,0.197672212,14.8254159,0.049418053,"{""source"": ""Death's Shadow"", ""target"": ""Doomsday"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Doomsday"", ""value"": 0.049418053},"
4-c Control,UWx Control,137.72,33.91,0.197576181,14.8182136,0.049394045,"{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"": 0.04939404525},"
Elves,Nic Fit,143.37,35.18,0.197031644,14.77737328,0.049257911,"{""source"": ""Elves"", ""target"": ""Nic Fit"", ""value"": 15},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Elves"", ""target"": ""Nic Fit"", ""value"": 0.049257911},"
Affinity,Bomberman,101,24,0.192,14.4,0.048,"{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"": 14},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"": 0.048},"
Death's Shadow,Storm,150.37,35.67,0.191732961,14.37997205,0.04793324,"{""source"": ""Death's Shadow"", ""target"": ""Storm"", ""value"": 14},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Storm"", ""value"": 0.04793324025},"
UR Delver,UWx Control,159.23,37.65,0.191233239,14.34249289,0.04780831,"{""source"": ""UR Delver"", ""target"": ""UWx Control"", ""value"": 14},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""UR Delver"", ""target"": ""UWx Control"", ""value"": 0.04780830975},"
Death and taxes,Pikula,164.96,38.86,0.190658424,14.29938181,0.047664606,"{""source"": ""Death and taxes"", ""target"": ""Pikula"", ""value"": 14},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death and taxes"", ""target"": ""Pikula"", ""value"": 0.047664606},"
4-c Control,Legacy Landstill,104.33,24.5,0.190173096,14.26298222,0.047543274,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"": 14},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"": 0.047543274},"
Affinity,MUD,113.16,26.34,0.188817204,14.16129032,0.047204301,"{""source"": ""Affinity"", ""target"": ""MUD"", ""value"": 14},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Affinity"", ""target"": ""MUD"", ""value"": 0.047204301},"
Food Chain,Storm,130.69,30.34,0.188412097,14.13090728,0.047103024,"{""source"": ""Food Chain"", ""target"": ""Storm"", ""value"": 14},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Food Chain"", ""target"": ""Storm"", ""value"": 0.04710302425},"
Doomsday,Sneak & Show,153.73,35.48,0.187516516,14.0637387,0.046879129,"{""source"": ""Doomsday"", ""target"": ""Sneak & Show"", ""value"": 14},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Doomsday"", ""target"": ""Sneak & Show"", ""value"": 0.046879129},"
Food Chain,Stoneblade,140,32.21,0.18703908,14.02793101,0.04675977,"{""source"": ""Food Chain"", ""target"": ""Stoneblade"", ""value"": 14},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Food Chain"", ""target"": ""Stoneblade"", ""value"": 0.04675977},"
