Card Name,4-c Control,Affinity,Antiquities War,Arclight Phoenix,Belcher,Bomberman,BUG Midrange,Burn,Canadian Threshold,Cloudpost Ramp,Dark Depths,Death and taxes,Death's Shadow,Delver (Other),Doomsday,Dragon Stompy,Dredge,Eldrazi Aggro,Elves,Food Chain,Goblins,Grixis Control,Grixis Delver,Humans,Infect,Junk,Lands,Legacy Landstill,LOAM,Maverick,Merfolk,MUD,Nic Fit,Painter,Pikula,Reanimator,Slivers,Sneak & Show,Stoneblade,Storm,UR Delver,UWx Control,Zombie Bombardment
Arena Rector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.666666667,,,,,,,,,,
Arid Mesa,,,,,,,,2.833333333,,,,,,,,,,,,,0.5,,,,,,,1,,,,,,,,,,,0.4,,0.2,0.75,
Ashen Rider,,,,,,,,0.333333333,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.833333333,,,,,,,
Assassin's Trophy,2,,,0.8,,,3,,,,1.444444444,,,0.5,,,,,0.666666667,1.5,,,,,0.5,1,,,1,,,,2.333333333,,,0.666666667,,,,,,,3
Aura of Silence,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auriok Salvagers,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to Basics,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,2,,,2,,,,,,,,1.2,,,1.8125,
Badlands,1,,,0.4,,,,,,,0.111111111,,,,1,,,,,,,1.75,,,,,,,0.666666667,,,,,,,2,,,,0.444444444,,,3
Baleful Strix,4,,4,,,,3.5,,,,,,,,,,,,,4,,3.375,,,,,,,,,,,,,,,,0.307692308,0.1,,,,
Balustrade Spy,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian Ring,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.857142857,,,,,,,,,,,,,,,,
Barren Moor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333333333,,,,,,,,,,,,,,
Basilisk Collar,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Batterskull,,,,,,,,,,1,,0.9,,,,,,,,,,,,,,1,,,,0.333333333,,,,,1.5,,,,1,,,0.0625,
Bayou,1.5,,,0.4,,,2,,,,2.444444444,0.1,,0.5,,,,,1.333333333,1,,,,,1,2,0.285714286,,2.333333333,,,,2,,,0.5,,,,0.777777778,,,2
Bearscape,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beast Whisperer,,,,,,,,,,,,,,,,,,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Become Immense,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Berserk,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Birchlore Rangers,,,,,,,,,,,,,,,,,,,1.666666667,,,,,,,,,,,,,,,,,,,,,,,,
Birds of Paradise,,,,,,,,,,,0.222222222,,,,,,,,,1.5,,,,,,,,,,0.666666667,,,,,,,,,,,,,
Bitterblossom,,,,0.4,,,0.5,,,,0.222222222,0.1,0.8,0.5,,,,,,,,,1,,,1,,,0.666666667,,,,,,,,,,,,,,
Blazing Volley,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessed Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,0.0625,
Blighted Agent,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Blightning,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blightsteel Colossus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Blinkmoth Nexus,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Crypt,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Moon,,,,,,,,,,,,,,,,4,,,,,,0.75,,,,,,,,,,,,,,,,1.846153846,,,1.3,,
Bloodghast,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Bloodstained Mire,1.5,,,0.6,,,,1.666666667,,,,,1.6,,2,,,,,,1,2.625,0.75,,,,,,,,,,,,0.5,3.166666667,,0.076923077,,1.333333333,0.7,,4
Blooming Marsh,,,,,,,,,,,0.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blossoming Defense,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,
Blue Elemental Blast,,,,,,,0.5,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,0.125,
Boil,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bojuka Bog,,,,,,,,,,0.666666667,1,,,,,,,,0.333333333,,,,,,0.5,,1,,,,,,0.333333333,,,,,,,,,,
"Boseiju, Who Shelters All",,,,,,,,,,,0.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,1.153846154,,,,,
Brainstorm,4,,,4,,,4,,4,,,,4,4,4,,,,,4,,4,4,,4,,,4,,,,,,,,,,4,4,4,4,4,
Breakthrough,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge from Below,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1
Brightling,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buried Alive,,,,2.4,,,,,,,,,0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
Buried Ruin,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142857143,,,,,,,,,,,,,,,,
Burning Wish,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888888889,,,
Cabal Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Cabal Ritual,,,,0.8,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3.111111111,,,
Cabal Therapy,,,,4,,,,,,,,,0.8,,,,4,,,,,0.5,,,,,,,,,,,4,,0.5,2.5,,,,0.333333333,,,4
Candelabra of Tawnos,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Careful Study,,,,1.6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataclysm,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.2,,,,
Cavern of Souls,,,,,,4,,,,,,1.1,,,,,,2,1.666666667,,4,,,4,,,,,,0.333333333,3,3,2,,,,4,,0.1,,,,
Celestial Purge,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.9375,
Cephalid Coliseum,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain Lightning,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,
Chain of Vapor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888888889,,,
Chalice of the Void,,4,4,,,4,,,,1.333333333,,0.3,,,,4,,4,,,2,,,,,,0.285714286,,4,,4,4,,,,,4,,,,,,
Champion of the Parish,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Chancellor of the Annex,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,3.333333333,,,,,,,
"Chandra, Torch of Defiance",,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart a Course,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chill,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
Choke,,,1,,,,,,,,0.444444444,0.2,,,,,,,2,,,,,,,2,2.428571429,,0.333333333,2.333333333,,,,,,,,,,,,,
Chrome Mox,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,0.888888889,,,
Cindervines,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,,,0.1,,
City of Brass,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Traitors,,,,,,4,,,,1,,,,,,4,,1.8,,,,,,,,,,,,,,4,,3,,,,1.615384615,,,,,
Cloudpost,,,,,,,,,,4,,,,,,,,1.6,,,,,,,,,,,,,,2,,,,,,,,,,,
Coffin Purge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,
Collective Brutality,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.333333333,,1.5,0.666666667,,,,,,,2
Compost,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,
Condescend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,
Conjurer's Bauble,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consign / Oblivion,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consume Spirit,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Contagion,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Containment Priest,,,,,,3,,,,,,1,,,,,,,,,1,,,1,,1,,2,,1.333333333,,,,,0.5,,,,1.3,,,1.4375,
Council's Judgment,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,2,,1.333333333,,,,,1,,,,1.6,,,1.8125,
Counterbalance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,2.3125,
Counterspell,,,,,,,,,,,,,,,,,,,,0.5,,0.125,,,,,,2,,,,,,,,,,,0.7,,,1.0625,
Courser of Kruphix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,
Craterhoof Behemoth,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,
Creeping Chill,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Rotation,,,,,,,,,,2.666666667,4,,,,,,,,0.666666667,,,,,,1,,4,,,0.333333333,,,0.666666667,,,,,,,,,,
Crucible of Worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142857143,,,,,0.5,,,,,,,,,,,
Cruel Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,
Cryptbreaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,
Cryptic Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
Crystal Vein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Crystalline Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Cunning Wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.538461538,,,,,
Curse of Death's Hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,
Curse of Misfortunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,
Cursecatcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Damping Sphere,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,
Dark Confidant,,,,1.6,,,,,,,3,,,,,,,,,,,0.5,0.75,,,3,0.428571429,,4,,,,,,4,,,,,0.444444444,,,2
Dark Depths,,,,,,,,,,0.333333333,4,,,,,,,,,,,,,,,,3.571428571,,0.333333333,0.333333333,,,,,,0.666666667,,,,,,,
Dark Petition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111111111,,,
Dark Ritual,,,,2.4,,,,,,,,,0.8,,4,,,,,,,0.5,,,,,,,,,,,,,,3.833333333,,,,4,,,
Darkblast,,,,,,,,,,,,,0.4,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
Darkheart Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Darksteel Citadel,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,
Daze,,,,1.2,,,,,4,,,,4,3.5,,,,,,,,,4,,1.5,,,,,,1,,,,,,,,1.9,,4,,
Dead / Gone,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,0.1,,
Death's Shadow,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Analysis,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.692307692,,,,,
Delver of Secrets,,,,,,,,,4,,,,3.2,4,,,,,,,,,4,,,,,,,,,,,,,,,,2,,4,,
Deputy of Detention,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Desperate Ritual,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detention Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,
Diabolic Edict,1.5,,,0.2,,,2,,,,,,1.8,0.5,,,,,,1.5,,1.75,1.75,,1,,,,,,,,0.333333333,,,0.333333333,,,,,,,
Diffusion Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Diminishing Returns,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimir Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
Dimir Signet,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disenchant,,,,0.2,,,,,,,,0.2,,,,,,,,,,,,,,,,2,,,,,,,,,,,1.5,,,1.625,
Dismember,,,,,,,,,1,,,0.1,1.2,0.5,,,,0.6,,,0.5,,,2,,,,,,,2,,,,,,,,,,0.1,,
Disrupting Shoal,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Doomsday,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon's Claw,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
Dread of Night,,,,,,,,,,,0.111111111,,1.4,1.5,,,,,,,,0.125,1,,0.5,,,,,,,,,,,,,,,,,,
Dread Return,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreadbore,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
Drop of Honey,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,0.428571429,,,,,,,,,,,,,,,,
Drowned Catacomb,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryad Arbor,,,,,,,,,,,0.666666667,0.1,,,,,,,1.666666667,,,,,,0.5,1,0.142857143,,0.666666667,1,,,0.666666667,,,,,,,,,,
Dryad Militant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,
Duress,,,,,,,,,,,2.222222222,,,,3,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,3.666666667,,,
Echoing Truth,,,,0.8,,,,,,,,,,,2,,,,,,,0.375,,,,,,,,,2,,,,,,,0.307692308,,2.333333333,,,
Eidolon of the Great Revel,,,,,,,,3.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eladamri's Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
Eldrazi Mimic,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Eldrazi Temple,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Electrickery,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.6,,
Electrodominance,,,,,,,,,,,,,,,,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elesh Norn, Grand Cenobite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833333333,,,,,,,
"Elspeth, Knight-Errant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,,,,
Elvish Mystic,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Elvish Spirit Guide,,,,,4,,,,,,1.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvish Visionary,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Empty the Warrens,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1.444444444,,,
"Emrakul, the Aeons Torn",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,3.538461538,,,,,
"Emrakul, the Promised End",,,,,,,,,,1,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Endbringer,,,,,,,,,,0.666666667,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Endless One,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,
Engineered Explosives,,,1,0.4,,,0.5,,,,,,,,,,,,,,,1,0.25,,,1,0.285714286,,,,,,,1,0.5,,,,0.6,,,0.5,
Engineered Plague,0.5,,1,,,,,,,,,,,,,,,0.6,,,,0.125,,,,,,,,,,,,,,,,,,,,,
Enlightened Tutor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.125,
Ensnaring Bridge,,3,2,,,2,,1.5,,0.666666667,,0.1,,,,2.333333333,,1.8,,,,0.25,,,,,,,,,,1,,2,,,,,,,,,
Entomb,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
Entreat the Angels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,
Eternal Scourge,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Eternal Witness,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,
Ethersworn Canonist,,,,,,1,,,,,,1,,,,,,,,,0.5,,,,,,,,,2,,,,,0.5,,2,,,,,0.125,
Evolutionary Leap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333333333,,,,,,,,,,
Exhume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667,,,,,,,
Expedition Map,,,,,,,,,,2.666666667,0.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experimental Frenzy,,,,,,,,0.166666667,,,,,,,4,,,,,,,,,,,,0.571428571,,,,,,,,,,,,,,,,
Exploration,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Explore,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exquisite Firecraft,,,,,,,,1.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extirpate,,,,,,,,,,,0.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,
Eye of Ugin,,,,,,,,,,1.333333333,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
"Ezuri, Renegade Leader",,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Faerie Macabre,,,,,,,1,0.833333333,,,0.111111111,0.2,,,,,1.5,0.8,,,1.5,,,1,,,,,,,,1.5,1,2,0.5,,,,,,,,1
Faithless Looting,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3.333333333,,,,,,,4
Far / Away,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Push,2.5,,,,,,2.5,,,,,,1.6,2,2,,,,,0.5,,1.5,,,,,,,,,,,,,,,,,,0.555555556,,,
Fauna Shaman,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fierce Empath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,
Fiery Confluence,,,,,,,,,,,,,,,,3.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire / Ice,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
Fireblast,,,,,,,,3.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firemind's Foresight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461538462,,,,,
Flagstones of Trokair,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash of Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
Flayer of the Hatebound,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Flickerwisp,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fling,,,,,,,,,,,0.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flooded Strand,,,,0.8,,,0.5,,2.75,,,,0.8,1,,,,,,,,,1.5,,,,,4,,,,,,,,,,2,4,0.111111111,1,3.9375,
Flusterstorm,2.5,,2,0.8,,,1,,0.75,,,,1,0.5,2,,,,,2,,1.75,1.75,,2.5,,,2,,,2,,,2,,,,1.923076923,2.1,1.666666667,2.1,2.25,
Food Chain,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Force of Will,4,,4,1.2,,,4,,4,,,,4,4,,,2,,,4,,3.5,4,,2,,,4,,,4,,,4,,,4,4,4,,4,4,
Forest,,,,0.2,,,1,,,4.333333333,0.555555556,0.1,,,,,,,2.666666667,1,,,,,1,1,1,,1,2,,,4,,,,,,,,,,
Forked Bolt,,,,,,,,,1,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,1.2,,
From Beyond,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fyndhorn Elves,,,,,,,,,,,,,,,,,,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Gaddock Teeg,,,,,,,,,,,0.111111111,,,,,,,,,,,,,1,,,,,0.666666667,1.333333333,,,,,,,,,,,,,
Gaea's Cradle,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,
Galerider Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Gamble,,,,,,,,,,,,,,,,,,,,,,,,,,,3.571428571,,,,,,,,,,,,,,,,
Garruk Relentless,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.333333333,0.666666667,,,,,,,,,,,,,
Gempalm Incinerator,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Gemstone Caverns,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemstone Mine,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Quarter,,,,,,,,,,,0.666666667,,,,,,,,,,,,,,,,1.142857143,,0.333333333,0.333333333,,,0.333333333,,,,,,,,,,
Gideon of the Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
